TREINADOR,TIME
Lisca, América-MG
Lisca, Ceará
Lisca, Criciúma
Lisca, Guarani
Lisca, Paraná
Lisca, Internacional
Lisca, Joinville
Lisca, Ceará
Lisca, Náutico
Lisca, Sampaio Corrêa
Lisca, Náutico
Guto Ferreira, Ceará
Guto Ferreira, Sport
Guto Ferreira, Chapecoense
Guto Ferreira, Bahia
Guto Ferreira, Internacional
Guto Ferreira, Bahia
Guto Ferreira, Chapecoense
Guto Ferreira, Ponte Preta
Guto Ferreira, Figueirense
Guto Ferreira, Portuguesa
Guto Ferreira, Ponte Preta
Guto Ferreira, Mogi Mirim
Guto Ferreira, ABC
Guto Ferreira, Criciúma
Guto Ferreira, Mogi Mirim
Guto Ferreira, Naval
Guto Ferreira, Naval
Guto Ferreira, Penafiel
Maurício Barbieri, Bragantino
Maurício Barbieri, CSA
Maurício Barbieri, América-MG
Maurício Barbieri, Goiás
Maurício Barbieri, Flamengo
Abel Ferreira, Palmeiras
Abel Ferreira, PAOK
Abel Ferreira, SC Braga
Abel Ferreira, SC Braga
Abel Ferreira, Braga B
Abel Ferreira, Sporting B
Abel Ferreira, Sporting Sub19
Abel Ferreira,Sporting CP
Abel Ferreira,Fim de carreira
Abel Ferreira,SC Braga
Abel Ferreira,Sporting CP
Abel Ferreira,Sporting CP
Abel Ferreira,SC Braga
Abel Ferreira,SC Braga
Abel Ferreira,Sporting CP
Abel Ferreira,Vitória SC
Abel Ferreira,SC Braga
Abel Ferreira,Penafiel
Abel Ferreira,Vitória SC
Abel Ferreira,Penafiel Sub19
Abel Ferreira,Penafiel
Abel Ferreira,Penafiel Sub-17
Abel Ferreira,Penafiel Sub19
Abel Ferreira,Penafiel Sub-15
Abel Ferreira,Penafiel Sub-17
Abel Ferreira,Penafiel F
Abel Ferreira,Penafiel Sub-15
Rogério Ceni, Flamengo
Rogério Ceni, Fortaleza
Rogério Ceni, Cruzeiro
Rogério Ceni, Fortaleza
Rogério Ceni, São Paulo
Rogério Ceni,São Paulo
Rogério Ceni,Fim de carreira
Rogério Ceni,Sinop
Rogério Ceni,São Paulo
Dado Cavalcanti, Bahia
Dado Cavalcanti, EC Bahia B
Dado Cavalcanti, Ferroviária-SP
Dado Cavalcanti, EC Bahia B
Dado Cavalcanti, Paraná
Dado Cavalcanti, Paysandu SC
Dado Cavalcanti, CRB
Dado Cavalcanti, Náutico
Dado Cavalcanti, Paysandu SC
Dado Cavalcanti, Paysandu SC
Dado Cavalcanti, Ceará
Dado Cavalcanti, Náutico
Dado Cavalcanti, Ponte Preta
Dado Cavalcanti, Coritiba
Dado Cavalcanti, Paraná
Dado Cavalcanti, Mogi Mirim
Dado Cavalcanti, Icasa
Dado Cavalcanti, Central
Dado Cavalcanti, América-RN
Dado Cavalcanti, Santa Cruz
Dado Cavalcanti, Brazsat-DF
Marquinhos Santos, Juventude
Marquinhos Santos, Juventude
Marquinhos Santos, Chapecoense
Marquinhos Santos, Juventude
Marquinhos Santos, São Bento
Marquinhos Santos, Londrina
Marquinhos Santos, Paysandu SC
Marquinhos Santos, Figueirense
Marquinhos Santos, Fortaleza
Marquinhos Santos, Coritiba
Marquinhos Santos, Bahia
Marquinhos Santos, Coritiba
Hernán Crespo, São Paulo
Hernán Crespo, Defensa
Hernán Crespo, CA Banfield
Hernán Crespo, Parma
Hernán Crespo, Modena
Hernán Crespo, Parma U19
Hernán Crespo,Parma
Hernán Crespo,Fim de carreira
Hernán Crespo,Génova
Hernán Crespo,Parma
Hernán Crespo,Inter
Hernán Crespo,Génova
Hernán Crespo,Chelsea
Hernán Crespo,Inter
Hernán Crespo,Inter
Hernán Crespo,Chelsea
Hernán Crespo,Chelsea
Hernán Crespo,Inter
Hernán Crespo,AC Milan
Hernán Crespo,Chelsea
Hernán Crespo,Chelsea
Hernán Crespo,AC Milan
Hernán Crespo,Inter
Hernán Crespo,Chelsea
Hernán Crespo,Lazio
Hernán Crespo,Inter
Hernán Crespo,AC Parma
Hernán Crespo,Lazio
Hernán Crespo,River Plate
Hernán Crespo,AC Parma
Hernán Crespo,River Plate U20
Hernán Crespo,River Plate
Lucas Gonçalves, Atlético-MG
Miguel Ángel Ramírez, Internacional
Miguel Ángel Ramírez, Independiente
Miguel Ángel Ramírez, Independiente
Miguel Ángel Ramírez, ASPIRE Academy
Miguel Ángel Ramírez, Alavés U19
Miguel Ángel Ramírez, L.Palmas Juv. A
Roger Machado, Fluminense
Roger Machado, Bahia
Roger Machado, Palmeiras
Roger Machado, Atlético-MG
Roger Machado, Grêmio
Roger Machado, Novo Hamburgo
Roger Machado, Juventude
Roger Machado, Grêmio
Roger Machado,D.C. United
Roger Machado,Fim de carreira
Roger Machado,Fluminense
Roger Machado,D.C. United
Roger Machado,Vissel Kobe
Roger Machado,Fluminense
Roger Machado,Grêmio
Roger Machado,Vissel Kobe
Roger Machado,Grêmio B
Roger Machado,Grêmio
Cuca, Atlético-MG
Cuca, Santos FC
Cuca, São Paulo
Cuca, Santos FC
Cuca, Palmeiras
Cuca, Palmeiras
Cuca, Shandong
Cuca, Atlético-MG
Cuca, Cruzeiro
Cuca, Fluminense
Cuca, Flamengo
Cuca, Fluminense
Cuca, Santos FC
Cuca, Botafogo
Cuca, Botafogo
Cuca, São Caetano
Cuca, Coritiba
Cuca, Flamengo
Cuca, Grêmio
Cuca, São Paulo
Cuca, Goiás
Cuca, Paraná
Cuca, Criciúma
Cuca, Internacional
Cuca, Gama
Cuca, Avaí
Cuca, Remo
Cuca, Brasil-RS
Cuca, Internacional
Cuca, Uberlândia EC
Cuca, Avaí
Cuca,Grêmio
Cuca,Fim de carreira
Cuca,Valladolid
Cuca,Grêmio
Cuca,Grêmio
Cuca,Valladolid
Antonio Oliveira, Athletico-PR
Antonio Oliveira, Athletico-PR
Antonio Oliveira, Santos FC
Antonio Oliveira, Kazma SC
Antonio Oliveira, Rudar Velenje
Antonio Oliveira, Tractor Sazi
Antonio Oliveira, Tractor Sazi
Antonio Oliveira, Tractor Sazi
Antonio Oliveira,Fabril Barreiro
Antonio Oliveira,Fim de carreira
Antonio Oliveira,Oriental
Antonio Oliveira,Fabril Barreiro
Antonio Oliveira,Casa Pia
Antonio Oliveira,Oriental
Antonio Oliveira,CD Santa Clara
Antonio Oliveira,Casa Pia
Antonio Oliveira,SC Braga
Antonio Oliveira,CD Santa Clara
Antonio Oliveira,SL Benfica
Antonio Oliveira,SC Braga
Antonio Oliveira,Benfica Sub-19
Antonio Oliveira,SL Benfica
Alberto Valentim, Cuiabá
Alberto Valentim, Botafogo
Alberto Valentim, Avaí
Alberto Valentim, Vasco da Gama
Alberto Valentim, Pyramids FC
Alberto Valentim, Botafogo
Alberto Valentim, Palmeiras
Alberto Valentim, Palmeiras
Alberto Valentim, Red Bull
Alberto Valentim, Palmeiras
Alberto Valentim, Palmeiras
Alberto Valentim,Atlético-PR
Alberto Valentim,Fim de carreira
Alberto Valentim,Siena
Alberto Valentim,Atlético-PR
Alberto Valentim,Udinese
Alberto Valentim,Siena
Alberto Valentim,Siena
Alberto Valentim,Udinese
Alberto Valentim,Udinese
Alberto Valentim,Siena
Alberto Valentim,Atlético-PR
Alberto Valentim,Udinese
Alberto Valentim,Flamengo
Alberto Valentim,Atlético-PR
Alberto Valentim,Atlético-PR
Alberto Valentim,Flamengo
Alberto Valentim,São Paulo
Alberto Valentim,Atlético-PR
Alberto Valentim,Atlético-PR
Alberto Valentim,São Paulo
Alberto Valentim,Guarani
Alberto Valentim,Atlético-PR
Alberto Valentim,Guarani U20
Alberto Valentim,Guarani
Umberto Louzer, Sport
Umberto Louzer, Chapecoense
Umberto Louzer, Coritiba
Umberto Louzer, Vila Nova
Umberto Louzer, Guarani
Umberto Louzer, Guarani
Tiago Nunes, Grêmio
Tiago Nunes, Corinthians
Tiago Nunes, Atlético-PR
Tiago Nunes, Atlético-PR B
Tiago Nunes, Veranopolis
Tiago Nunes, Ferroviária-SP
Tiago Nunes, São Paulo
Mozart, Chapecoense
Mozart, CSA
Mozart, Coritiba
Mozart,AS Livorno
Mozart,Fim de carreira
Mozart,Palmeiras
Mozart,AS Livorno
Mozart,Spartak Moskovo
Mozart,Palmeiras
Mozart,Reggina
Mozart,Spartak Moskovo
Mozart,Flamengo
Mozart,Reggina
Mozart,Coritiba
Mozart,Flamengo
Mozart,Coritiba FC B
Mozart,Coritiba
Juan Pablo Vojvoda, Fortaleza
Juan Pablo Vojvoda, La Calera
Juan Pablo Vojvoda, Huracán
Juan Pablo Vojvoda, CA Talleres
Juan Pablo Vojvoda, Defensa
Juan Pablo Vojvoda, Newell's II
Juan Pablo Vojvoda,Sport. Belgrano
Juan Pablo Vojvoda,Fim de carreira
Juan Pablo Vojvoda,Tiro Federal
Juan Pablo Vojvoda,Sport. Belgrano
Juan Pablo Vojvoda,CD Baza
Juan Pablo Vojvoda,Tiro Federal
Juan Pablo Vojvoda,CD Leonesa
Juan Pablo Vojvoda,CD Baza
Juan Pablo Vojvoda,FC Algeciras
Juan Pablo Vojvoda,CD Leonesa
Juan Pablo Vojvoda,SD Compostela
Juan Pablo Vojvoda,FC Algeciras
Juan Pablo Vojvoda,Newell's
Juan Pablo Vojvoda,SD Compostela
Juan Pablo Vojvoda,Newell's U19
Juan Pablo Vojvoda,Newell's
Fernando Diniz, Santos FC
Fernando Diniz, São Paulo
Fernando Diniz, Fluminense
Fernando Diniz, Atlético-PR
Fernando Diniz, Guarani
Fernando Diniz, GO Audax
Fernando Diniz, Oeste FC-SP
Fernando Diniz, GO Audax
Fernando Diniz, Paraná
Fernando Diniz, GO Audax
Fernando Diniz, Botafogo-SP
Fernando Diniz, Votoraty-SP
Fernando Diniz,Gama
Fernando Diniz,Fim de carreira
Fernando Diniz,Santo André
Fernando Diniz,CA Juventus
Fernando Diniz,CA Juventus
Fernando Diniz,Gama
Fernando Diniz,Paulista FC
Fernando Diniz,Santo André
Fernando Diniz,Al-Ahli SC
Fernando Diniz,Paulista FC
Fernando Diniz,Santos FC
Fernando Diniz,Al-Ahli SC
Fernando Diniz,Cruzeiro
Fernando Diniz,Santos FC
Fernando Diniz,Flamengo
Fernando Diniz,Cruzeiro
Fernando Diniz,Fluminense
Fernando Diniz,Flamengo
Fernando Diniz,Paraná
Fernando Diniz,Fluminense
Fernando Diniz,Corinthians
Fernando Diniz,Paraná
Fernando Diniz,Palmeiras
Fernando Diniz,Corinthians
Fernando Diniz,CA Juventus
Fernando Diniz,Palmeiras
Eduardo Souza, Atlético-GO
Eduardo Souza, Atlético-GO
Eduardo Souza, Atlético-GO
Sylvinho, Corinthians
Sylvinho, Olympique Lyon
Sylvinho, Brasil
Sylvinho, Inter
Sylvinho, Inter
Sylvinho, Corinthians
Sylvinho, Náutico
Sylvinho, Sport
Sylvinho, Cruzeiro
Sylvinho,Manchester City
Sylvinho,Fim de carreira
Sylvinho,FC Barcelona
Sylvinho,Manchester City
Sylvinho,Celta de Vigo
Sylvinho,FC Barcelona
Sylvinho,FC Arsenal
Sylvinho,Celta de Vigo
Sylvinho,Corinthians
Sylvinho,FC Arsenal
Sylvinho,Corinthians B
Sylvinho,Corinthians
